query,label
"thích biển, chụp ảnh, check-in cầu",sightseeing
"đi Bà Nà Hills, ngắm cảnh",sightseeing
"đi chợ đêm, dạo bờ sông",sightseeing
"tham quan bảo tàng, lịch sử văn hoá",sightseeing
"đi chùa, ngắm thành phố từ trên cao",sightseeing
"cần quán hải sản ngon rẻ",food
"ăn đặc sản mì Quảng, bún cá",food
"quán cà phê rooftop, view đẹp",food
"tìm chỗ ăn trưa gần biển",food
"nhà hàng phù hợp gia đình",food
"tìm khách sạn gần biển",hotel
"khách sạn 2 người, gần trung tâm",hotel
"resort nghỉ dưỡng yên tĩnh",hotel
"khách sạn giá ~1 triệu/đêm",hotel
"chỗ ở tiện đi cầu Rồng",hotel
"đi chụp ảnh Đà Nẵng ban đêm",sightseeing
"đi dọc biển Mỹ Khê tắm biển",sightseeing
"muốn ăn hải sản buổi tối",food
"đi ăn khu An Thượng",food
"ở 1 đêm, cần ks sạch sẽ",hotel
"đi check-in Ngũ Hành Sơn",sightseeing
"đi Sơn Trà ngắm cảnh",sightseeing
"quán ăn hải sản tươi, có view biển",food
"khách sạn gần bãi biển, có hồ bơi",hotel
"đi chơi nhẹ nhàng buổi sáng",sightseeing
"ăn tối muộn sau 21:00",food
"cần ks rẻ dưới 600k",hotel
"đi phố đi bộ, chợ đêm",sightseeing
"quán ăn đặc sản địa phương",food
"khách sạn 4 sao trung tâm",hotel
"đi xem cầu Rồng phun lửa",sightseeing
"đi ngắm hoàng hôn trên biển",sightseeing
"quán nhậu hải sản đông vui",food
"bữa sáng nhẹ gần khách sạn",food
"khách sạn cho gia đình 4 người",hotel
"resort có spa yên tĩnh",hotel
"đi ngắm đêm ở bờ sông Hàn",sightseeing
"đi chụp ảnh Instagram, góc đẹp",sightseeing
"tìm quán ăn đêm mở trễ",food
"quán chè/ăn vặt giá mềm",food
"khách sạn có đưa đón sân bay",hotel
"homestay gần biển giá tốt",hotel
"đi trekking nhẹ + cảnh đẹp",sightseeing
"tham quan chợ Hàn buổi sáng",sightseeing
"ăn trưa hải sản suất 150k/ng",food
"cà phê view rooftop ngắm thành phố",food
"khách sạn có bãi đỗ xe",hotel
"khách sạn gần cầu Trần Thị Lý",hotel
"đi bảo tàng điêu khắc Chăm",sightseeing
"thích cảnh chụp ảnh nghệ thuật",sightseeing
"quán bánh xèo nem lụi ngon",food
"bún chả cá/bánh tráng cuốn thịt heo",food
"khách sạn gần Mỹ Khê 3 ngày 2 đêm",hotel
"khách sạn 1 triệu rưỡi/đêm trở xuống",hotel
"đi dạo biển buổi tối có đèn đẹp",sightseeing
"đi rừng Sơn Trà ngắm voọc (ngày)",sightseeing
"tìm buffet hải sản buổi tối",food
"đi ăn tối lãng mạn cho cặp đôi",food
"khách sạn yên tĩnh, cách âm tốt",hotel
"khách sạn gần sân bay Đà Nẵng",hotel
"tham quan chùa Linh Ứng, cảnh đẹp",sightseeing
"check-in cầu Tình Yêu, khoá tình yêu",sightseeing
"ăn sáng bún/bánh mì đặc sản",food
"cafe làm việc, có wifi ổn",food
"khách sạn 3 sao giá phải chăng",hotel
"khách sạn gần trung tâm mua sắm",hotel
"đi ngắm bình minh trên biển",sightseeing
"tour tham quan city nửa ngày",sightseeing
"quán ăn mở tới 23:30",food
"đi ăn khu chợ đêm Helio",food
"khách sạn gần chợ/siêu thị",hotel
"khách sạn cho cặp đôi, phòng view",hotel
